Subject ID,Training Samples,Testing Samples
001,3,3
002,3,3
003,3,3
004,3,3
005,3,3
006,3,3
007,3,3
008,3,3
009,3,3
010,3,3
011,3,3
012,3,3
013,3,3
014,3,3
015,3,3
016,3,3
017,3,3
018,3,3
019,3,3
020,3,3
021,3,3
022,3,3
023,3,3
024,3,3
025,3,3
026,3,3
027,3,3
028,3,3
029,3,3
030,3,3
031,3,3
032,3,3
033,3,3
034,3,3
035,3,3
036,3,3
037,3,3
038,3,3
039,3,3
040,3,3
041,3,3
042,3,3
043,3,3
044,3,3
045,3,3
046,3,3
047,3,3
048,3,3
049,3,3
050,3,3
051,3,3
052,3,3
053,3,3
054,3,3
055,3,3
056,3,3
057,3,3
058,3,3
059,3,3
060,3,3
061,3,3
062,3,3
063,3,3
064,3,3
065,3,3
066,3,3
067,3,3
068,3,3
069,3,3
070,3,3
071,3,3
072,3,3
073,3,3
074,3,3
075,3,3
076,3,3
077,3,3
078,3,3
079,3,3
080,3,3
081,3,3
082,3,3
083,3,3
084,3,3
085,3,3
086,3,3
087,3,3
088,3,3
089,3,3
090,3,3
091,3,3
092,3,3
093,3,3
094,3,3
095,3,3
096,3,3
097,3,3
098,3,3
099,3,3
100,3,3
101,3,3
102,3,3
103,3,3
104,3,3
105,3,3
106,3,3
107,3,3
108,3,3
109,3,3
110,3,3
111,3,3
112,3,3
113,3,3
114,3,3
115,3,3
116,3,3
117,3,3
118,3,3
119,3,3
120,3,3
121,3,3
122,3,3
123,3,3
124,3,3
